,Average_Putting_Distance_-_All_2_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_2_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_2_putts_PLAYER NAME,Average_Putting_Distance_-_All_2_putts_ROUNDS,Average_Putting_Distance_-_All_2_putts_AVG,Average_Putting_Distance_-_All_2_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_2_putts_TOTAL PUTTS
37,T35,T35,Keith Mitchell,64,"23' 11""",9890.333,413
38,T39,T40,Matt Jones,67,"23' 10""",10905.417,458
39,T39,T40,Xander Schauffele,55,"23' 10""",8523.167,358
40,T41,T44,Sam Burns,66,"23' 9""",12895.417,543
41,T41,T49,Brian Gay,79,"23' 9""",13566.333,572
42,T41,T44,Patrick Reed,53,"23' 9""",8706.083,366
43,T41,T44,Adam Scott,41,"23' 9""",5304.25,223
44,T45,T49,Tony Finau,61,"23' 8""",10158.417,429
45,T45,T57,Jim Furyk,53,"23' 8""",10122.5,427
46,T45,T49,Lucas Glover,62,"23' 8""",12822.833,541
47,T45,T44,Scott Piercy,70,"23' 8""",12019.417,507
48,T45,T49,Ian Poulter,49,"23' 8""",7227.0830000000005,305
49,T45,T57,Ollie Schniederjans,63,"23' 8""",11225.25,475
50,T45,T49,Nick Taylor,70,"23' 8""",13855.417,586
51,T45,T49,Nick Watney,67,"23' 8""",12122.583,513
52,T53,T65,Daniel Berger,48,"23' 7""",10036.667,425
53,T53,T71,Stephan Jaeger,59,"23' 7""",9575.417,406
54,T53,T57,Russell Knox,65,"23' 7""",11951.0,506
55,T53,T44,Curtis Luck,51,"23' 7""",7065.5830000000005,300
56,T53,T57,Hideki Matsuyama,59,"23' 7""",9941.417,422
57,T53,T57,Alex Prugh,54,"23' 7""",9775.167,414
58,T53,T57,Seth Reeves,52,"23' 7""",8547.25,363
59,T53,T57,Patrick Rodgers,44,"23' 7""",9153.583,388
60,T53,T40,Brady Schnell,38,"23' 7""",6244.5830000000005,265
61,T53,T112,Webb Simpson,53,"23' 7""",10574.583,449
62,T53,T57,Michael Thompson,56,"23' 7""",11386.5,483
63,T64,T65,Tyrrell Hatton,46,"23' 6""",7667.6669999999995,326
64,T64,T71,J.J. Henry,42,"23' 6""",7084.5,301
65,T64,T80,Scott Langley,60,"23' 6""",11226.083,478
66,T64,T65,Luke List,52,"23' 6""",10195.75,434
67,T64,T49,Seamus Power,58,"23' 6""",10163.667,432
68,T64,T80,Kevin Tway,62,"23' 6""",11109.25,473
69,T64,T40,Danny Willett,47,"23' 6""",9313.583,396
