,Total_1_Putts_-_15-20_RANK THIS WEEK,Total_1_Putts_-_15-20_RANK LAST WEEK,Total_1_Putts_-_15-20_PLAYER NAME,Total_1_Putts_-_15-20_ROUNDS,Total_1_Putts_-_15-20_TOTAL,Total_1_Putts_-_15-20_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_15-20_PCT OF ALL 1-PUTTS
60,T60,T80,Tyler Duncan,66,15,294,5.1
61,T60,T55,Jim Furyk,53,15,288,5.2
62,T60,T55,Emiliano Grillo,65,15,259,5.8
63,T60,T55,Charles Howell III,64,15,304,4.9
64,T60,T55,Patton Kizzire,58,15,274,5.5
65,T60,T80,Brooks Koepka,49,15,212,7.1
66,T60,T66,Curtis Luck,51,15,247,6.1
67,T60,T55,Graeme McDowell,61,15,311,4.8
68,T60,T80,Sebastián Muñoz,58,15,277,5.4
69,T60,T55,"Ted Potter, Jr.",56,15,299,5.0
70,T60,T94,J.J. Spaun,68,15,315,4.8
71,T60,T55,Aaron Wise,52,15,241,6.2
72,T60,T55,Gary Woodland,63,15,293,5.1
73,T74,T66,Kiradech Aphibarnrat,49,14,249,5.6
74,T74,T80,Keegan Bradley,65,14,286,4.9
75,T74,T66,Sam Burns,66,14,400,3.5
76,T74,T112,Roberto Castro,54,14,283,4.9
77,T74,T80,Harris English,72,14,423,3.3
78,T74,T66,Tony Finau,61,14,286,4.9
79,T74,T66,Charley Hoffman,58,14,258,5.4
80,T74,T80,Kyle Jones,49,14,237,5.9
81,T74,T66,Whee Kim,57,14,218,6.4
82,T74,T66,Si Woo Kim,65,14,322,4.3
83,T74,T66,Chris Kirk,47,14,233,6.0
