,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
55,T56,T51,Daniel Berger,48,1.5930000000000002,1376,864
56,T56,T53,J.T. Poston,76,1.5930000000000002,2064,1296
57,T56,T53,Nick Taylor,70,1.5930000000000002,1893,1188
58,T59,T55,Freddie Jacobson,37,1.594,1004,630
59,T59,T55,C.T. Pan,64,1.594,1779,1116
60,T59,T58,Sam Saunders,53,1.594,1521,954
61,T62,T58,Rafa Cabrera Bello,57,1.595,1550,972
62,T62,T58,Matt Every,38,1.595,976,612
63,T64,T55,Mackenzie Hughes,58,1.5959999999999999,1551,972
64,T64,999,Shane Lowry,30,1.5959999999999999,718,450
65,T64,T61,Patrick Reed,53,1.5959999999999999,1379,864
66,T67,T83,Danny Lee,66,1.597,1840,1152
67,T67,T68,Seamus Power,58,1.597,1552,972
68,T67,T63,Patrick Rodgers,44,1.597,1265,792
69,T70,T68,Martin Kaymer,38,1.599,1094,684
70,T70,T68,Sebastián Muñoz,58,1.599,1612,1008
71,T72,T72,Abraham Ancer,69,1.6,1843,1152
72,T72,T83,Cody Gribble,52,1.6,1382,864
73,T72,T72,Beau Hossler,66,1.6,1901,1188
74,T75,T63,Austin Cook,50,1.601,1326,828
75,T75,T93,Joey Garber,44,1.601,1153,720
76,T75,T63,David Hearn,41,1.601,1066,666
77,T75,T88,Sungjae Im,88,1.601,2420,1512
78,T75,T74,Pat Perez,52,1.601,1441,900
79,T75,T68,Scott Piercy,70,1.601,1902,1188
80,T75,T74,Chez Reavie,67,1.601,1729,1080
