,GIR_Putting_Avg_-_25-30_RANK THIS WEEK,GIR_Putting_Avg_-_25-30_RANK LAST WEEK,GIR_Putting_Avg_-_25-30_PLAYER NAME,GIR_Putting_Avg_-_25-30_ROUNDS,GIR_Putting_Avg_-_25-30_% MADE,GIR_Putting_Avg_-_25-30_ATTEMPTS,GIR_Putting_Avg_-_25-30_PUTTS MADE
30,31,T32,Tiger Woods,31,1.25,24,3.0
31,T32,T75,Dylan Frittelli,55,1.22,49,6.0
32,T32,37,Luke List,52,1.22,41,5.0
33,T32,T32,Chris Stroud,54,1.22,49,6.0
34,T35,T32,Justin Thomas,49,1.21,33,4.0
35,T35,27,Cameron Tringale,52,1.21,33,4.0
36,T37,T28,Daniel Berger,48,1.19,42,5.0
37,T37,T41,Martin Kaymer,38,1.19,42,5.0
38,39,T38,Anders Albertson,48,1.18,34,4.0
39,40,T41,Ryan Palmer,56,1.16,43,5.0
40,T41,T46,Lucas Glover,62,1.15,78,9.0
41,T41,40,Fabián Gómez,44,1.15,26,3.0
42,T41,T46,Patton Kizzire,58,1.15,26,3.0
43,T41,T46,Jason Kokrak,68,1.15,52,6.0
44,T45,T49,"Ted Potter, Jr.",56,1.14,44,5.0
45,T45,T49,Sam Ryder,52,1.14,35,4.0
46,T47,T32,Adam Hadwin,66,1.13,53,6.0
47,T47,65,Matt Kuchar,65,1.13,53,6.0
48,T47,51,Rory Sabbatini,71,1.13,53,6.0
49,T47,T68,Ollie Schniederjans,63,1.13,53,6.0
50,T51,T52,Tony Finau,61,1.11,45,5.0
51,T51,T38,Nate Lashley,44,1.11,36,4.0
52,T51,T52,Kyoung-Hoon Lee,72,1.11,54,6.0
53,T51,T44,Denny McCarthy,63,1.11,45,5.0
54,T51,T66,Peter Uihlein,65,1.11,45,5.0
55,T56,T55,Cameron Champ,58,1.09,55,6.0
56,T56,T44,J.J. Spaun,68,1.09,46,5.0
57,T56,T75,Robert Streb,60,1.09,55,6.0
58,T59,T57,Branden Grace,62,1.08,37,4.0
59,T59,T68,Danny Lee,66,1.08,65,7.0
60,T61,T59,Chris Kirk,47,1.07,28,3.0
61,T61,T32,Alex Noren,49,1.07,28,3.0
62,T63,T70,Mackenzie Hughes,58,1.06,47,5.0
63,T63,T41,Kelly Kraft,67,1.06,47,5.0
64,T63,63,Michael Thompson,56,1.06,47,5.0
65,T66,T52,Sangmoon Bae,42,1.05,19,2.0
66,T66,64,Joel Dahmen,78,1.05,57,6.0
67,T68,T57,Cameron Davis,54,1.03,39,4.0
68,T68,T66,Andrew Landry,56,1.03,39,4.0
69,T68,T115,José de Jesús Rodríguez,51,1.03,29,3.0
70,T68,T59,Richy Werenski,63,1.03,58,6.0
71,T72,T59,Matt Every,38,1.0,30,3.0
