,Putts_Made_Per_Event_Over_20_RANK THIS WEEK,Putts_Made_Per_Event_Over_20_RANK LAST WEEK,Putts_Made_Per_Event_Over_20_PLAYER NAME,Putts_Made_Per_Event_Over_20_ROUNDS,Putts_Made_Per_Event_Over_20_PUTTS MADE
48,T37,T38,Jon Rahm,51,1.5
49,T37,T38,Peter Uihlein,65,1.5
50,T37,T38,Harold Varner III,62,1.5
51,T37,T38,Matt Wallace,31,1.5
52,T53,T38,Corey Conners,62,1.4
53,T53,T106,Dylan Frittelli,55,1.4
54,T53,T38,Brian Gay,79,1.4
55,T53,T54,Sung Kang,67,1.4
56,T53,T54,Kevin Kisner,65,1.4
57,T53,T75,Danny Lee,66,1.4
