,Last_5_Events_-_Short_Game_RANK THIS WEEK,Last_5_Events_-_Short_Game_RANK LAST WEEK,Last_5_Events_-_Short_Game_PLAYER NAME,Last_5_Events_-_Short_Game_EVENTS,Last_5_Events_-_Short_Game_RATING
52,T46,T48,Tiger Woods,2,7.3
53,T54,T85,Jonas Blixt,3,7.2
54,T54,T31,Bud Cauley,2,7.2
55,T54,T59,Eddie Pepperell,2,7.2
56,T54,T48,Wes Roach,2,7.2
57,T54,T59,Brandt Snedeker,2,7.2
58,T59,T185,Keegan Bradley,2,7.1
59,T59,T48,Jonathan Byrd,2,7.1
60,T59,T63,Jason Day,2,7.1
61,T59,T63,Zack Fischer,1,7.1
62,T59,T63,Sung Kang,2,7.1
63,T59,T63,David Lipsky,3,7.1
64,T59,T63,Dylan Meyer,1,7.1
65,T59,T63,Louis Oosthuizen,2,7.1
66,T59,T63,Chad Ramey,1,7.1
67,T59,T63,Shawn Stefani,1,7.1
68,T59,T147,Robert Streb,1,7.1
69,T59,T48,Peter Uihlein,3,7.1
70,T71,T72,John Huh,1,7.0
71,T71,T59,Scott Piercy,3,7.0
72,T71,T39,Kevin Tway,4,7.0
73,T71,T72,Lee Westwood,1,7.0
74,T75,T75,John Catlin,2,6.9
75,T75,T1,Harris English,2,6.9
76,T75,T75,Tommy Fleetwood,2,6.9
77,T75,,Joey Garber,1,6.9
78,T75,T75,Parker McLachlin,1,6.9
79,T75,T75,Phil Mickelson,1,6.9
80,T75,T75,Keith Mitchell,3,6.9
81,T75,T75,Cameron Smith,1,6.9
82,T75,T75,Adam Svensson,1,6.9
83,T75,T75,Mike Weir,1,6.9
84,T85,T85,Alex Cejka,1,6.8
85,T85,T85,Brice Garnett,2,6.8
86,T85,T85,Tyrrell Hatton,2,6.8
87,T85,T85,Tim Herron,2,6.8
88,T85,T85,Sam Horsfield,1,6.8
89,T85,T85,Charles Howell III,1,6.8
90,T85,T63,Mackenzie Hughes,2,6.8
91,T85,,Collin Morikawa,1,6.8
92,T85,T85,C.T. Pan,3,6.8
93,T85,T85,Andrew Putnam,3,6.8
94,T85,T85,Adam Scott,3,6.8
95,T85,T85,Matthew Short,1,6.8
96,T85,T7,Roger Sloan,2,6.8
97,T98,T98,Padraig Harrington,1,6.7
98,T98,T123,Matt Kuchar,3,6.7
99,T98,T72,Danny Lee,3,6.7
100,T98,T98,David Lingmerth,2,6.7
101,T98,T98,Adam Long,3,6.7
102,T98,T85,Joaquin Niemann,4,6.7
103,T98,T98,Chez Reavie,3,6.7
104,T98,T98,Steve Stricker,2,6.7
105,T98,T98,Brian Stuard,4,6.7
106,T98,T98,David Toms,1,6.7
