,Approaches_from__100_yards_RANK THIS WEEK,Approaches_from__100_yards_RANK LAST WEEK,Approaches_from__100_yards_PLAYER NAME,Approaches_from__100_yards_ROUNDS,Approaches_from__100_yards_AVG,Approaches_from__100_yards_TOTAL DISTANCE (FEET),Approaches_from__100_yards_# OF ATTEMPTS,Approaches_from__100_yards_RELATIVE TO PAR
179,T180,T172,Seamus Power,58,"36' 2""",17919.583,496,-0.07
180,T180,T180,J.J. Spaun,68,"36' 2""",19920.583,551,-0.05
181,T182,T172,Kiradech Aphibarnrat,49,"36' 3""",14490.417,400,-0.07
182,T182,T172,Ernie Els,43,"36' 3""",10652.0,294,-0.05
183,T182,T184,Aaron Wise,52,"36' 3""",15630.333,431,-0.07
184,185,T177,Aaron Baddeley,51,"36' 4""",15790.0,435,-0.11
185,T186,186,Wyndham Clark,61,"36' 5""",18048.417,496,-0.09
186,T186,T180,Hunter Mahan,45,"36' 5""",14883.833,409,-0.07
187,188,193,Harris English,72,"36' 6""",25220.167,691,-0.06
188,189,T184,Pat Perez,52,"36' 7""",13488.5,369,-0.03
189,T190,192,Bill Haas,58,"36' 8""",20403.917,556,-0.03
190,T190,T188,Johnson Wagner,45,"36' 8""",15153.25,413,-0.07
191,T192,203,Jonathan Byrd,43,"36' 10""",11314.583,307,-0.03
192,T192,T194,Alex Noren,49,"36' 10""",14437.75,392,-0.03
193,T194,T188,Rafa Cabrera Bello,57,"36' 11""",16547.167,448,-0.06
194,T194,T188,Patrick Reed,53,"36' 11""",15062.0,408,-0.08
195,T194,T188,Matt Wallace,31,"36' 11""",8895.25,241,-0.05
196,T197,T198,Dominic Bozzelli,53,"37' 1""",13707.833,370,-0.08
197,T197,T196,Kyle Jones,49,"37' 1""",15339.333,414,E
198,T197,T194,Curtis Luck,51,"37' 1""",13160.0,355,-0.05
199,200,T196,Beau Hossler,66,"37' 4""",21391.083,573,-0.05
200,T201,T198,Charl Schwartzel,34,"37' 5""",5684.5830000000005,152,+0.01
201,T201,202,Brandt Snedeker,68,"37' 5""",20486.417,548,-0.10
202,T203,204,John Chin,38,"37' 6""",9197.333,245,-0.03
203,T203,T198,Rod Pampling,40,"37' 6""",12108.25,323,+0.02
204,205,201,John Senden,39,"37' 8""",10895.583,289,-0.02
205,206,206,Chris Thompson,34,"38' 5""",8827.75,230,E
206,207,999,Martin Piller,30,"38' 10""",7500.0,193,-0.05
207,208,205,Martin Trainer,51,"39' 1""",14768.167,378,+0.02
208,209,207,Justin Harding,31,"43' 1""",6812.75,158,-0.01
