,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
82,T82,T77,Sam Ryder,52,"37' 0""",26406.25,713,88
83,T84,T87,Bud Cauley,61,"37' 1""",35109.5,947,113
84,T84,81,John Huh,35,"37' 1""",17910.917,483,134
85,T86,T89,Scott Brown,66,"37' 2""",31869.583,858,98
86,T86,T82,Peter Malnati,64,"37' 2""",35322.667,951,182
87,T86,T95,Shawn Stefani,57,"37' 2""",25776.083,694,68
88,89,T82,Ian Poulter,49,"37' 3""",19923.833,535,24
89,T90,T100,Jonas Blixt,66,"37' 4""",34817.75,933,148
90,T90,T105,Jim Herman,37,"37' 4""",18006.5,482,179
91,T90,999,Shane Lowry,30,"37' 4""",13862.833,371,189
92,T90,T87,C.T. Pan,64,"37' 4""",28020.167,751,123
93,T94,T82,Cameron Davis,54,"37' 5""",24734.083,661,72
94,T94,T89,Martin Kaymer,38,"37' 5""",22673.833,606,199
95,T94,T89,Scott Stallings,63,"37' 5""",32792.083,876,127
96,T94,T105,Robert Streb,60,"37' 5""",29426.167,786,139
