,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
47,48,51,Kiradech Aphibarnrat,49,"21' 3""",466.917,22,-6
48,49,52,Ryan Blaum,67,"21' 4""",426.5,20,+8
49,50,53,Hunter Mahan,45,"21' 5""",299.83299999999997,14,-2
50,T51,T71,Adam Hadwin,66,"21' 6""",472.75,22,-3
51,T51,T54,Jason Kokrak,68,"21' 6""",365.833,17,E
52,T53,57,Kevin Na,54,"21' 7""",280.5,13,-1
53,T53,T88,Chris Thompson,34,"21' 7""",388.417,18,-1
54,55,T58,Nate Lashley,44,"21' 9""",261.41700000000003,12,+1
55,56,62,Ian Poulter,49,"22' 1""",264.5,12,+2
56,T57,T58,Sepp Straka,48,"22' 2""",377.167,17,-1
57,T57,65,Nick Watney,67,"22' 2""",443.333,20,-2
58,T59,T63,Jason Dufner,56,"22' 3""",266.5,12,+6
59,T59,T63,Emiliano Grillo,65,"22' 3""",311.16700000000003,14,+4
60,61,T27,Cameron Tringale,52,"22' 6""",315.0,14,-1
61,T62,T76,Brooks Koepka,49,"22' 7""",631.3330000000001,28,-3
62,T62,68,Scott Langley,60,"22' 7""",316.5,14,-5
63,T64,80,J.B. Holmes,54,"22' 11""",412.083,18,-5
64,T64,T69,Andrew Landry,56,"22' 11""",344.083,15,+3
65,T64,999,Tyrone Van Aswegen,30,"22' 11""",229.333,10,+5
66,67,T71,Pat Perez,52,"23' 0""",183.833,8,+5
67,68,T73,Anirban Lahiri,54,"23' 2""",416.75,18,+1
68,69,T76,Hudson Swafford,59,"23' 4""",419.583,18,-2
69,70,T88,Robert Streb,60,"23' 6""",517.6669999999999,22,E
70,71,T76,Kevin Streelman,63,"23' 7""",566.6669999999999,24,+6
71,T72,67,Trey Mullinax,67,"23' 8""",1136.333,48,+2
72,T72,79,Seamus Power,58,"23' 8""",497.833,21,+8
73,74,81,Abraham Ancer,69,"23' 11""",429.75,18,+2
74,75,T174,Whee Kim,57,"24' 0""",335.917,14,+2
75,76,T82,Byeong Hun An,54,"24' 1""",625.1669999999999,26,+8
76,77,T84,Patton Kizzire,58,"24' 2""",266.08299999999997,11,-1
77,78,T98,J.J. Spaun,68,"24' 3""",339.583,14,-3
78,T79,T86,Aaron Baddeley,51,"24' 4""",437.833,18,+1
79,T79,T86,Stewart Cink,33,"24' 4""",145.917,6,+3
80,T79,66,Rory McIlroy,50,"24' 4""",437.917,18,+4
81,T79,T95,Rod Pampling,40,"24' 4""",365.167,15,+3
82,T83,T104,Cody Gribble,52,"24' 5""",659.1669999999999,27,+7
