,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
175,T174,T171,Haotong Li,32,"7' 10""",1200.917,153,100
176,T174,T171,D.A. Points,33,"7' 10""",1179.667,151,131
177,T174,T176,Shawn Stefani,57,"7' 10""",2087.583,266,82
178,T179,T182,Dominic Bozzelli,53,"7' 11""",2075.917,262,125
179,T179,T176,Bronson Burgoon,37,"7' 11""",1624.8329999999999,205,175
180,T179,T176,Satoshi Kodaira,51,"7' 11""",2234.917,281,208
181,T179,T182,Curtis Luck,51,"7' 11""",2145.417,271,87
182,T179,T176,Sebastián Muñoz,58,"7' 11""",2386.417,301,157
183,T179,T171,Adam Schenk,80,"7' 11""",3277.0,414,90
184,T185,T176,Brice Garnett,63,"8' 0""",2362.0,295,196
185,T185,T150,Seth Reeves,52,"8' 0""",2404.0,301,191
186,T187,T187,Jason Day,45,"8' 1""",1577.8329999999999,196,129
187,T187,T187,Hunter Mahan,45,"8' 1""",1986.8329999999999,246,177
188,T187,999,Martin Piller,30,"8' 1""",1165.0,144,67
189,T187,T187,John Senden,39,"8' 1""",1384.75,171,156
190,T187,T187,Brendan Steele,50,"8' 1""",2134.917,264,194
191,T187,T182,Martin Trainer,51,"8' 1""",2831.917,351,161
192,T193,T191,Ryan Blaum,67,"8' 2""",3432.0,420,108
193,T193,193,Joey Garber,44,"8' 2""",1647.25,201,68
194,T193,T197,Alex Noren,49,"8' 2""",2193.5,268,180
195,T193,T191,"Ted Potter, Jr.",56,"8' 2""",2725.167,334,200
196,T193,T194,Alex Prugh,54,"8' 2""",1849.25,226,198
197,T193,T197,Sepp Straka,48,"8' 2""",1936.1670000000001,237,195
198,199,T194,Sangmoon Bae,42,"8' 4""",1543.6670000000001,186,106
199,T200,T197,Kiradech Aphibarnrat,49,"8' 5""",2130.917,253,31
200,T200,T203,Jim Herman,37,"8' 5""",1838.0,218,183
201,T200,T200,Johnson Wagner,45,"8' 5""",1902.5829999999999,227,158
202,T203,T200,Cameron Champ,58,"8' 6""",2872.417,338,207
203,T203,T200,Justin Harding,31,"8' 6""",762.4169999999999,90,184
204,205,T194,J.J. Henry,42,"8' 7""",1661.0829999999999,194,58
205,206,T203,Whee Kim,57,"8' 8""",1955.1670000000001,225,164
206,T207,206,Lucas Bjerregaard,37,"8' 9""",1480.9170000000001,169,203
207,T207,T203,Emiliano Grillo,65,"8' 9""",2510.417,288,170
208,209,207,John Chin,38,"8' 11""",1440.25,161,192
