,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
37,T34,54,José de Jesús Rodríguez,51,0.75,36,27.0
38,39,43,Keegan Bradley,65,0.7559999999999999,45,34.0
39,T40,65,Hank Lebioda,55,0.758,33,25.0
40,T40,46,Justin Thomas,49,0.758,33,25.0
41,42,42,Alex Prugh,54,0.759,29,22.0
42,43,41,Dylan Frittelli,55,0.7609999999999999,46,35.0
43,44,T78,J.J. Henry,42,0.767,30,23.0
44,45,T38,Brady Schnell,38,0.769,26,20.0
45,46,45,Cameron Smith,55,0.773,44,34.0
46,47,44,Sam Saunders,53,0.7759999999999999,49,38.0
47,48,T33,Julián Etulain,55,0.7829999999999999,46,36.0
48,49,48,Tony Finau,61,0.7859999999999999,42,33.0
49,T50,T49,C.T. Pan,64,0.787,47,37.0
50,T50,T49,J.T. Poston,76,0.787,61,48.0
51,52,T57,Matt Kuchar,65,0.7879999999999999,33,26.0
52,53,52,Branden Grace,62,0.7909999999999999,43,34.0
53,T54,T57,Stephan Jaeger,59,0.792,53,42.0
54,T54,53,Rory Sabbatini,71,0.792,48,38.0
55,T54,47,Nick Taylor,70,0.792,48,38.0
56,57,T55,Hunter Mahan,45,0.795,39,31.0
57,58,35,Jonas Blixt,66,0.7959999999999999,54,43.0
58,T59,T57,Stewart Cink,33,0.8,35,28.0
59,T59,64,Ben Crane,41,0.8,35,28.0
60,T59,T57,D.A. Points,33,0.8,30,24.0
61,62,T57,Martin Laird,60,0.8029999999999999,61,49.0
62,T63,75,Peter Uihlein,65,0.804,46,37.0
63,T63,T57,Richy Werenski,63,0.804,56,45.0
64,65,77,Josh Teater,47,0.8109999999999999,37,30.0
65,66,85,Brian Gay,79,0.8170000000000001,71,58.0
66,T67,T118,Nate Lashley,44,0.818,22,18.0
67,T67,T66,Webb Simpson,53,0.818,33,27.0
68,T67,T16,D.J. Trahan,33,0.818,11,9.0
69,T67,T66,Matt Wallace,31,0.818,33,27.0
70,71,T72,Joey Garber,44,0.821,28,23.0
71,72,69,Kevin Streelman,63,0.8220000000000001,45,37.0
72,73,99,Robert Streb,60,0.826,46,38.0
73,74,71,Francesco Molinari,41,0.8290000000000001,35,29.0
74,T75,T72,Adam Svensson,51,0.833,24,20.0
75,T75,T55,Kevin Tway,62,0.833,48,40.0
