,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
104,T102,T86,Nate Lashley,44,"6' 7""",5.978,76,40
105,T102,T86,Alex Noren,49,"6' 7""",6.7,85,180
106,T102,T114,Brady Schnell,38,"6' 7""",4.753,60,57
107,T102,T119,Peter Uihlein,65,"6' 7""",9.641,122,139
108,T102,T107,Nick Watney,67,"6' 7""",7.127000000000001,90,137
109,T110,T107,Cameron Davis,54,"6' 8""",8.464,106,72
110,T110,T107,Tony Finau,61,"6' 8""",7.537000000000001,94,64
111,T110,T107,Bill Haas,58,"6' 8""",9.726,121,89
112,T110,T107,Tom Hoge,70,"6' 8""",9.787,122,148
113,T110,T107,Beau Hossler,66,"6' 8""",10.739,135,168
114,T110,T86,Wes Roach,45,"6' 8""",6.652,83,53
115,T110,T107,Sam Saunders,53,"6' 8""",10.501,132,55
116,T110,T119,Chris Thompson,34,"6' 8""",3.977,50,167
117,T118,T136,Dylan Frittelli,55,"6' 9""",9.352,115,34
118,T118,T114,Keith Mitchell,64,"6' 9""",9.544,118,176
119,T118,T114,Kevin Na,54,"6' 9""",7.457000000000001,92,136
120,T118,T114,Roger Sloan,62,"6' 9""",9.355,115,166
121,T122,T125,Brian Gay,79,"6' 10""",12.866,157,60
122,T122,T119,Brandon Harkins,67,"6' 10""",11.600999999999999,141,199
123,T122,T119,Patton Kizzire,58,"6' 10""",6.94,85,159
124,T122,T128,Jim Knous,55,"6' 10""",8.162,99,155
