,Scrambling_20-30_yds_RTP_Score_RANK THIS WEEK,Scrambling_20-30_yds_RTP_Score_RANK LAST WEEK,Scrambling_20-30_yds_RTP_Score_PLAYER NAME,Scrambling_20-30_yds_RTP_Score_ROUNDS,Scrambling_20-30_yds_RTP_Score_AVG RTP,Scrambling_20-30_yds_RTP_Score_TOTAL HOLES,Scrambling_20-30_yds_RTP_Score_TOTAL RTP
37,T37,T32,Francesco Molinari,41,0.4,25,10.0
38,T37,T32,Pat Perez,52,0.4,45,18.0
39,T37,T64,Wes Roach,45,0.4,35,14.0
40,41,35,Rory Sabbatini,71,0.40299999999999997,67,27.0
41,T42,T42,Martin Laird,60,0.406,64,26.0
42,T42,37,Danny Willett,47,0.406,32,13.0
43,44,36,Peter Uihlein,65,0.408,49,20.0
44,45,39,Phil Mickelson,41,0.41200000000000003,34,14.0
45,T46,T40,Stewart Cink,33,0.414,29,12.0
46,T46,59,Jim Knous,55,0.414,29,12.0
47,48,95,Rory McIlroy,50,0.41700000000000004,24,10.0
48,49,44,Andrew Landry,56,0.42100000000000004,38,16.0
49,T50,T50,Jonathan Byrd,43,0.42200000000000004,45,19.0
50,T50,T45,Hideki Matsuyama,59,0.42200000000000004,45,19.0
51,52,T42,Scott Piercy,70,0.423,52,22.0
52,53,49,Billy Horschel,73,0.426,61,26.0
53,54,56,Brian Gay,79,0.42700000000000005,96,41.0
54,55,T47,Sungjae Im,88,0.429,70,30.0
55,56,55,Beau Hossler,66,0.431,72,31.0
56,T57,T57,Adam Long,52,0.434,53,23.0
57,T57,T57,Keith Mitchell,64,0.434,53,23.0
58,59,60,Bubba Watson,47,0.44,50,22.0
59,T60,T50,Nate Lashley,44,0.442,43,19.0
60,T60,T50,José de Jesús Rodríguez,51,0.442,52,23.0
61,T62,62,Peter Malnati,64,0.444,54,24.0
62,T62,T64,Kevin Streelman,63,0.444,45,20.0
63,T62,T50,D.J. Trahan,33,0.444,18,8.0
64,65,T40,Nick Watney,67,0.45,60,27.0
65,66,68,Michael Thompson,56,0.451,71,32.0
66,T67,T69,Chez Reavie,67,0.452,31,14.0
67,T67,T69,Patrick Rodgers,44,0.452,42,19.0
68,T69,T74,Brian Harman,67,0.45299999999999996,64,29.0
69,T69,T74,Martin Trainer,51,0.45299999999999996,64,29.0
70,71,71,Sam Burns,66,0.455,66,30.0
71,72,T81,Zach Johnson,50,0.457,46,21.0
72,T73,73,Kevin Kisner,65,0.45799999999999996,48,22.0
73,T73,T90,Brandt Snedeker,68,0.45799999999999996,59,27.0
74,T75,T76,Aaron Baddeley,51,0.462,52,24.0
75,T75,T76,Rafa Cabrera Bello,57,0.462,52,24.0
76,T75,T76,Bryson DeChambeau,45,0.462,39,18.0
77,T78,T81,Tony Finau,61,0.46299999999999997,41,19.0
