,Fairway_Bunker_Tendency_RANK THIS WEEK,Fairway_Bunker_Tendency_RANK LAST WEEK,Fairway_Bunker_Tendency_PLAYER NAME,Fairway_Bunker_Tendency_ROUNDS,Fairway_Bunker_Tendency_%,Fairway_Bunker_Tendency_TOTAL FAIRWAY BUNKERS,Fairway_Bunker_Tendency_POSSIBLE FWYS,Fairway_Bunker_Tendency_RELATIVE TO PAR
63,T63,T62,Kyle Jones,49,5.5,27,488,+0.222
64,T65,T69,Keegan Bradley,65,5.6,35,628,+0.286
65,T65,T67,Carlos Ortiz,60,5.6,37,663,+0.297
66,T65,T62,Aaron Wise,52,5.6,30,533,+0.467
67,T68,T78,Anders Albertson,48,5.7,27,474,+0.222
68,T68,T73,Scott Brown,66,5.7,38,668,+0.263
69,T68,T78,Stephan Jaeger,59,5.7,32,561,+0.281
70,T68,T100,Hank Lebioda,55,5.7,31,540,+0.161
71,T68,T62,Marc Leishman,52,5.7,28,491,E
72,T68,T62,Vaughn Taylor,69,5.7,46,804,+0.087
73,T68,T87,Nick Taylor,70,5.7,47,820,+0.234
74,T75,T123,Sangmoon Bae,42,5.8,21,360,+0.286
75,T75,T73,Brian Gay,79,5.8,47,806,+0.064
76,T75,T78,Brandon Harkins,67,5.8,39,672,+0.179
77,T75,T87,Graeme McDowell,61,5.8,32,553,+0.156
78,T75,T69,Ben Silverman,54,5.8,34,584,+0.118
79,T75,T87,Johnson Wagner,45,5.8,26,448,+0.231
80,T81,T40,Alex Cejka,41,5.9,22,374,+0.091
81,T81,T73,Bill Haas,58,5.9,37,631,+0.216
82,T81,T69,Russell Knox,65,5.9,40,680,+0.200
