,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
158,T159,T148,Aaron Baddeley,51,2.41,274.8,113.993,,2.6210000000000004
159,T159,T161,Alex Noren,49,2.41,290.5,120.56200000000001,,2.627
160,161,165,Scott Brown,66,2.4090000000000003,274.6,114.007,,2.681
161,T162,T163,Joaquin Niemann,68,2.408,282.5,117.28,,2.7430000000000003
162,T162,192,Justin Thomas,49,2.408,282.8,117.446,,2.676
163,T162,T159,Chris Thompson,34,2.408,282.7,117.37200000000001,,2.6489999999999996
164,165,T161,Daniel Berger,48,2.404,279.8,116.37299999999999,,2.681
165,T166,999,Shane Lowry,30,2.403,281.2,117.01100000000001,,2.699
166,T166,T155,Patrick Rodgers,44,2.403,288.9,120.229,,2.7569999999999997
167,T168,T157,Matt Jones,67,2.4,280.3,116.774,,2.6039999999999996
168,T168,T157,Kevin Kisner,65,2.4,268.4,111.818,,2.6260000000000003
169,170,T159,Abraham Ancer,69,2.398,269.5,112.404,,2.673
170,171,T177,Shawn Stefani,57,2.396,281.2,117.381,,2.676
171,172,T177,Jim Furyk,53,2.391,257.1,107.506,,2.6289999999999996
172,173,171,Seth Reeves,52,2.3890000000000002,294.8,123.39200000000001,,2.7880000000000003
173,174,167,Russell Knox,65,2.388,268.9,112.59299999999999,,2.602
174,T175,T193,Jim Herman,37,2.385,270.6,113.478,,2.653
175,T175,168,Cameron Tringale,52,2.385,283.2,118.749,,2.6919999999999997
176,177,172,Ryan Armour,66,2.384,257.0,107.84100000000001,,2.678
177,178,T169,Henrik Stenson,46,2.3819999999999997,275.4,115.615,,2.625
178,T179,T173,Sebastián Muñoz,58,2.38,282.5,118.723,,2.63
179,T179,T169,Sam Ryder,52,2.38,275.5,115.743,,2.694
180,T179,T186,Kevin Tway,62,2.38,289.4,121.556,,2.773
181,182,T173,Seamus Power,58,2.378,284.2,119.476,,2.647
182,183,T183,Adam Svensson,51,2.375,270.6,113.93700000000001,,2.61
183,184,T173,Branden Grace,62,2.374,273.5,115.21600000000001,,2.678
184,185,176,John Senden,39,2.373,273.0,115.057,,2.605
185,T186,190,Russell Henley,56,2.371,262.1,110.553,,2.62
186,T186,179,Marc Leishman,52,2.371,278.2,117.32700000000001,,2.682
187,T188,180,Matthew Fitzpatrick,42,2.369,267.5,112.95200000000001,,2.718
188,T188,196,Rod Pampling,40,2.369,268.5,113.31200000000001,,2.61
189,190,181,Martin Kaymer,38,2.366,276.1,116.7,,2.597
190,191,182,Stewart Cink,33,2.365,271.0,114.60600000000001,,2.648
191,T192,T183,Justin Harding,31,2.363,270.9,114.641,,2.563
192,T192,T183,Haotong Li,32,2.363,282.8,119.676,,2.6210000000000004
193,T192,198,Peter Uihlein,65,2.363,292.5,123.791,,2.645
194,195,T188,Pat Perez,52,2.36,274.3,116.225,,2.532
195,196,T188,Talor Gooch,37,2.359,283.5,120.155,,2.6180000000000003
196,197,191,Jhonattan Vegas,60,2.355,292.8,124.32600000000001,,2.553
197,T198,T193,Ian Poulter,49,2.35,263.8,112.242,,2.593
198,T198,197,Adam Schenk,80,2.35,290.1,123.469,,2.6889999999999996
199,200,195,Adam Scott,41,2.349,282.1,120.09899999999999,,2.591
200,201,199,Charl Schwartzel,34,2.335,275.0,117.75299999999999,,2.528
201,202,206,Scott Langley,60,2.332,251.4,107.795,,2.576
202,203,200,Tiger Woods,31,2.331,274.0,117.535,,2.463
203,204,201,Ryan Moore,54,2.327,255.7,109.91799999999999,,2.6460000000000004
204,205,202,Freddie Jacobson,37,2.3209999999999997,263.0,113.321,,2.528
205,206,203,Kevin Na,54,2.319,264.7,114.175,,2.5269999999999997
206,207,204,Satoshi Kodaira,51,2.315,254.1,109.738,,2.5980000000000003
207,208,205,Patrick Reed,53,2.309,272.0,117.788,,2.64
208,209,207,Andrew Putnam,57,2.272,262.3,115.473,,2.58
