,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
113,T114,113,Bud Cauley,61,6.08,45,740,-0.133
114,T114,T102,Sepp Straka,48,6.08,27,444,+0.148
115,116,112,Cameron Smith,55,6.06,28,462,+0.107
116,117,T117,Adam Svensson,51,6.01,31,516,+0.129
117,118,115,Jason Day,45,5.97,21,352,+0.143
118,T119,T108,Brian Gay,79,5.94,48,808,+0.021
119,T119,T117,Vaughn Taylor,69,5.94,48,808,+0.146
120,121,96,Sergio Garcia,39,5.93,23,388,+0.043
121,122,111,Alex Cejka,41,5.88,22,374,+0.318
122,123,106,Danny Willett,47,5.87,31,528,-0.032
123,124,121,Grayson Murray,36,5.8,21,362,+0.381
124,125,T122,Gary Woodland,63,5.79,35,604,E
125,126,T122,Daniel Berger,48,5.75,33,574,+0.061
126,127,124,Carlos Ortiz,60,5.67,38,670,-0.053
127,128,127,Jimmy Walker,61,5.59,36,644,+0.139
128,129,126,Alex Prugh,54,5.58,28,502,+0.250
129,130,129,Kevin Tway,62,5.54,35,632,+0.057
130,T131,T134,Lucas Bjerregaard,37,5.52,17,308,+0.235
131,T131,125,John Chin,38,5.52,17,308,+0.176
132,T131,142,Joey Garber,44,5.52,20,362,+0.250
133,134,136,Danny Lee,66,5.48,42,766,+0.190
134,135,130,Martin Kaymer,38,5.46,26,476,-0.038
135,136,131,Kyoung-Hoon Lee,72,5.44,35,643,+0.171
136,137,157,Dylan Frittelli,55,5.39,33,612,+0.182
137,138,132,Chase Wright,53,5.33,29,544,+0.138
138,139,133,Sam Saunders,53,5.31,34,640,+0.176
139,140,137,Talor Gooch,37,5.3,23,434,-0.043
140,T141,T138,Ryan Blaum,67,5.28,39,738,+0.256
141,T141,T138,Sung Kang,67,5.28,39,738,+0.077
142,143,140,J.T. Poston,76,5.26,47,894,+0.213
143,144,145,Roberto Díaz,51,5.24,24,458,+0.333
144,145,143,Matt Wallace,31,5.19,16,308,-0.188
145,146,T146,Russell Henley,56,5.18,31,598,+0.161
146,147,128,Bubba Watson,47,5.16,26,504,+0.154
147,148,T148,Adam Scott,41,5.06,17,336,-0.059
148,149,T134,Fabián Gómez,44,5.0,21,420,+0.048
149,T150,T151,Byeong Hun An,54,4.95,27,546,+0.111
150,T150,T151,Tommy Fleetwood,43,4.95,18,364,-0.111
151,T152,153,Bronson Burgoon,37,4.93,20,406,+0.300
152,T152,191,Wes Roach,45,4.93,20,406,+0.300
153,T154,154,Rickie Fowler,54,4.92,31,630,-0.065
154,T154,165,Kyle Jones,49,4.92,24,488,+0.167
155,T154,150,Richy Werenski,63,4.92,35,712,+0.229
156,157,174,Stephan Jaeger,59,4.9,28,572,+0.250
157,158,155,Cameron Champ,58,4.88,33,676,+0.212
158,159,156,Adam Long,52,4.87,30,616,+0.067
159,160,T146,Joaquin Niemann,68,4.83,35,724,+0.171
160,161,158,Patrick Reed,53,4.81,25,520,+0.320
161,162,T148,Seth Reeves,52,4.78,24,502,+0.250
162,163,160,Justin Harding,31,4.76,8,168,-0.250
163,164,186,Sangmoon Bae,42,4.7,17,362,+0.294
