,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
58,59,T48,Ben Silverman,17,"25' 3""",4927.667,195
59,60,T48,Scott Piercy,19,"25' 4""",5704.5,225
60,T61,T59,Ryan Blaum,21,"25' 5""",6812.5,268
61,T61,T59,Francesco Molinari,10,"25' 5""",2946.5,116
62,T61,T87,Rod Pampling,16,"25' 5""",3530.75,139
63,T61,T59,Kevin Streelman,20,"25' 5""",6005.3330000000005,236
64,65,64,Brooks Koepka,13,"25' 6""",3674.083,144
65,T66,T65,Bryson DeChambeau,13,"25' 7""",4221.5,165
66,T66,T65,Max Homa,19,"25' 7""",7394.0830000000005,289
67,68,T67,Adam Long,19,"25' 8""",5571.8330000000005,217
68,T69,T70,Jason Dufner,19,"25' 9""",4581.833,178
69,T69,T59,Denny McCarthy,20,"25' 9""",5953.6669999999995,231
70,T69,T70,J.T. Poston,22,"25' 9""",8686.5,337
71,T72,T84,Sergio Garcia,11,"26' 0""",4083.167,157
72,T72,T75,Tyrrell Hatton,13,"26' 0""",3845.667,148
73,T72,T75,Billy Horschel,19,"26' 0""",6092.0,234
74,T75,T79,Patrick Cantlay,14,"26' 1""",4821.75,185
75,T75,T87,Carlos Ortiz,21,"26' 1""",6654.75,255
76,T75,T79,Sam Ryder,16,"26' 1""",5182.417,199
77,T75,T73,Justin Thomas,13,"26' 1""",4766.833,183
78,T75,T79,Tiger Woods,8,"26' 1""",2505.167,96
79,T80,T100,Anders Albertson,18,"26' 2""",4896.583,187
80,T80,T70,Harris English,21,"26' 2""",8206.417,314
81,T80,T82,"Ted Potter, Jr.",18,"26' 2""",5968.5830000000005,228
82,T83,T67,Hank Lebioda,16,"26' 3""",5012.833,191
83,T83,T87,Henrik Stenson,12,"26' 3""",3303.25,126
84,T83,94,Adam Svensson,18,"26' 3""",4966.25,189
85,T83,T75,Hudson Swafford,20,"26' 3""",7085.1669999999995,270
86,T87,86,Justin Rose,11,"26' 4""",4371.333,166
87,T87,T84,Roger Sloan,20,"26' 4""",7242.8330000000005,275
88,T89,T75,Joey Garber,15,"26' 5""",3720.833,141
89,T89,T87,Pat Perez,16,"26' 5""",3829.25,145
