,SG_Tee-to-Green_RANK THIS WEEK,SG_Tee-to-Green_RANK LAST WEEK,SG_Tee-to-Green_PLAYER NAME,SG_Tee-to-Green_ROUNDS,SG_Tee-to-Green_AVERAGE,SG_Tee-to-Green_SG:OTT,SG_Tee-to-Green_SG:APR,SG_Tee-to-Green_SG:ARG,SG_Tee-to-Green_MEASURED ROUNDS
70,71,76,Harold Varner III,62,0.406,0.35600000000000004,-0.032,0.08199999999999999,52
71,T72,69,Jason Dufner,56,0.384,0.129,0.138,0.11699999999999999,39
72,T72,75,J.B. Holmes,54,0.384,0.20800000000000002,0.201,-0.024,28
73,74,71,Francesco Molinari,41,0.353,0.243,0.035,0.075,26
74,75,68,Matt Every,38,0.34600000000000003,0.156,0.163,0.027999999999999997,25
75,76,73,Russell Henley,56,0.33299999999999996,0.10800000000000001,0.16899999999999998,0.055999999999999994,43
76,77,72,Scott Stallings,63,0.321,-0.028999999999999998,0.355,-0.006,49
77,78,77,Phil Mickelson,41,0.309,0.071,0.052000000000000005,0.185,30
78,79,78,Michael Thompson,56,0.29600000000000004,0.124,0.055,0.11699999999999999,50
79,80,90,Jimmy Walker,61,0.292,-0.096,0.105,0.28300000000000003,46
80,81,T79,Max Homa,61,0.289,0.266,0.298,-0.275,48
81,82,82,Chris Kirk,47,0.28,-0.18,0.19,0.27,35
