,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
72,T71,T70,J.T. Poston,22,139,1.0
73,T74,T73,Sungjae Im,26,138,74.0
74,T74,T73,Whee Kim,21,138,16.0
75,T74,T73,Nate Lashley,13,138,1.0
76,T74,T73,Patrick Rodgers,14,138,15.0
77,T78,T77,Bill Haas,18,137,14.0
78,T78,T77,Parker McLachlin,5,137,29.0
79,T78,T77,Jordan Spieth,16,137,33.0
80,T81,T80,Anders Albertson,18,136,21.0
81,T81,T80,Justin Harding,9,136,4.0
82,T81,T80,Tyrone Van Aswegen,11,136,56.0
83,T84,T83,Stewart Cink,12,135,30.0
84,T84,T83,Martin Kaymer,11,135,80.0
85,T84,T83,Wes Roach,14,135,21.0
86,T84,T83,Sam Saunders,18,135,28.0
87,T88,T87,David Hearn,14,134,8.0
88,T88,T87,Charley Hoffman,18,134,40.0
89,T88,T87,Scott Langley,20,134,47.0
90,T88,T87,Denny McCarthy,20,134,9.0
91,T92,T91,Kiradech Aphibarnrat,15,133,79.0
92,T92,T91,Dylan Frittelli,16,133,44.0
93,T92,T91,Russell Henley,18,133,12.0
94,T92,T91,Tim Herron,6,133,133.0
95,T92,T91,Troy Merritt,12,133,2.0
96,T97,T109,Cameron Davis,18,132,132.0
97,T97,96,Matt Wallace,9,132,6.0
98,99,97,Michael Kim,21,131,7.0
99,T100,T98,Rafa Cabrera Bello,15,130,15.0
100,T100,T98,Talor Gooch,12,130,14.0
101,T100,T98,Alex Noren,14,130,12.0
102,T103,T101,Sean O'Hair,9,129,27.0
103,T103,T101,Louis Oosthuizen,12,129,27.0
104,T105,T103,Aaron Baddeley,15,128,80.0
105,T105,T103,Jim Furyk,16,128,30.0
106,T105,T103,Jamie Lovemark,7,128,1.0
107,T105,T103,Trey Mullinax,20,128,36.0
108,T105,T103,Jhonattan Vegas,18,128,1.0
109,T105,T103,Gary Woodland,17,128,9.0
110,T111,T109,Sergio Garcia,11,127,27.0
111,T111,T109,Adam Hadwin,18,127,36.0
112,T111,T125,Hudson Swafford,20,127,127.0
113,T114,T112,Brian Davis,5,126,34.0
114,T114,T112,Matt Every,12,126,4.0
115,T114,T112,Stephan Jaeger,19,126,70.0
116,T114,T112,Kevin Tway,19,126,63.0
117,T118,T116,Billy Horschel,19,125,3.0
118,T118,T145,Colt Knost,8,125,34.0
119,T118,T116,Kevin Na,15,125,82.0
120,T118,T116,Henrik Stenson,12,125,31.0
121,T122,T125,Roger Sloan,20,124,124.0
122,T122,120,Cameron Smith,16,124,4.0
123,124,121,Charles Howell III,19,123,15.0
124,T125,T122,Julián Etulain,17,121,20.0
125,T125,T122,Adam Long,19,121,12.0
126,T125,T122,Cameron Tringale,15,121,17.0
127,T128,T125,Cameron Champ,19,120,2.0
128,T128,T125,Tyler Duncan,22,120,21.0
129,T128,T125,Kramer Hickok,19,120,25.0
130,131,130,Jason Day,14,119,19.0
131,132,131,Justin Rose,11,118,94.0
132,T133,T132,Ernie Els,14,117,117.0
133,T133,T132,Sung Kang,20,117,19.0
134,T135,134,Peter Malnati,19,116,90.0
135,T135,T219,Joaquin Niemann,20,116,116.0
136,T137,T135,Hank Lebioda,16,115,13.0
137,T137,T135,Shawn Stefani,19,115,3.0
138,T139,T193,J.J. Henry,15,114,18.0
139,T139,T137,Shubhankar Sharma,6,114,17.0
140,T139,T137,Michael Thompson,17,114,50.0
141,T142,T139,Derek Fathauer,10,113,38.0
142,T142,T139,Max Homa,19,113,6.0
143,T142,T139,Tom Lovelady,10,113,24.0
144,T145,T142,Chad Campbell,9,112,5.0
145,T145,T142,Bud Cauley,19,112,7.0
146,T145,T145,Matt Kuchar,16,112,112.0
147,T145,T142,Eddie Pepperell,7,112,112.0
148,T149,T145,Lucas Bjerregaard,10,111,20.0
149,T149,T145,Luke Donald,8,111,71.0
150,T149,T145,Andrew Landry,18,111,11.0
151,T149,T145,Scott Piercy,19,111,16.0
152,T153,T151,Zach Johnson,15,110,30.0
153,T153,T151,Kyle Jones,19,110,58.0
154,T153,T151,Ryan Moore,16,110,50.0
155,T153,T151,Rory Sabbatini,19,110,65.0
156,T153,T151,Aaron Wise,16,110,2.0
157,T158,T156,Emiliano Grillo,17,109,33.0
158,T158,T156,Chez Reavie,19,109,23.0
159,T158,T156,Josh Teater,17,109,9.0
160,T158,T156,Chase Wright,19,109,16.0
161,T162,T160,Arjun Atwal,2,108,108.0
162,T162,T354,Paul Barjon,2,108,108.0
163,T162,T160,Scott Brown,21,108,28.0
164,T162,T160,Francesco Molinari,10,108,4.0
165,T162,T160,Ryan Palmer,16,108,66.0
166,T162,T160,Andres Romero,6,108,16.0
167,T162,T160,Sam Ryder,16,108,9.0
168,T162,T160,Webb Simpson,14,108,91.0
169,T162,T160,Julian Suri,2,108,108.0
170,T171,T168,Daniel Chopra,3,107,55.0
171,T171,T168,John Huh,13,107,5.0
172,T173,T170,Lucas Glover,17,106,17.0
173,T173,T170,Charl Schwartzel,13,106,66.0
174,175,172,James Hahn,10,105,1.0
175,T176,T193,Cody Gribble,18,104,20.0
176,T176,173,Tiger Woods,8,104,76.0
177,T178,T174,Jim Knous,17,103,28.0
178,T178,T174,Chris Thompson,12,103,25.0
179,T180,T176,Tommy Fleetwood,11,102,42.0
180,T180,T176,Brady Schnell,14,102,96.0
181,T182,T178,Ryan Armour,21,101,11.0
182,T182,T178,Thorbjørn Olesen,8,101,4.0
183,T182,T178,Nick Watney,20,101,15.0
184,T185,T181,Kevin Chappell,3,100,4.0
185,T185,T181,Jason Dufner,19,100,38.0
186,T185,T181,Kelly Kraft,23,100,41.0
187,T185,T238,Shane Lowry,10,100,100.0
188,T185,T181,Alex Prugh,18,100,64.0
189,T185,T181,Steve Stricker,7,100,92.0
190,T185,T181,Johnson Wagner,14,100,
191,T192,T187,Jim Herman,16,99,12.0
192,T192,T187,Morgan Hoffmann,8,99,7.0
193,T192,T187,Kyoung-Hoon Lee,22,99,19.0
194,T192,T187,Jimmy Walker,17,99,18.0
