,Lowest_Round_RANK THIS WEEK,Lowest_Round_RANK LAST WEEK,Lowest_Round_PLAYER NAME,Lowest_Round_ROUNDS,Lowest_Round_VALUE,Lowest_Round_TOURN/COURSE,Lowest_Round_ROUND
336,T319,T314,Nick Hardy,6,69,Shriners/TPC Su,2
337,T319,T314,Sam Horsfield,10,69,Arnold Palmer/B,4
338,T319,T314,Trevor Immelman,12,69,Masters/Augusta,4
339,T319,T314,Marty Jertson,4,69,PGA Champ/Bethp,2
340,T319,T314,Jerry Kelly,5,69,Sony Open/Waial,1
341,T319,,Jake Knapp,4,69,RBC Canadian/Ha,2
342,T319,T314,Rob Labritz,4,69,PGA Champ/Bethp,2
343,T319,T314,Parker McLachlin,17,69,Puntacana/Coral,1
344,T319,T314,Jake McLeod,4,69,WGC-Mexico/Club,2
345,T319,T314,Jay McLuen,2,69,Puerto Rico/Coc,2
346,T319,T314,Maverick McNealy,6,69,Safeway Open/Si,3
347,T319,T314,Blake Morris,2,69,The RSM Classic,2
348,T319,T314,Bryson Nimmer,4,69,Puerto Rico/Coc,4
349,T319,T314,Alvaro Ortiz,10,69,Byron Nelson/Tr,1
350,T319,T314,David Pastore,4,69,Honda Classic/P,2
351,T319,T314,Andrea Pavan,4,69,WGC-HSBC Champ/,3
352,T319,T314,Jovan Rebula,4,69,the Memorial/Mu,2
353,T319,T314,John Rollins,8,69,Pebble Beach/Mo,2
354,T319,T314,Omar Uresti,6,69,Puntacana/Coral,2
355,T319,T314,Kristoffer Ventura,8,69,Texas Open/TPC,4
356,T319,T314,Scott Vincent,8,69,CIMB Classic/TP,3
357,T319,T350,Mike Weir,11,69,RBC Canadian/Ha,2
358,T319,T314,Mark Wilson,3,69,Desert Classic/,2
359,T360,,James Allenby,2,70,RBC Canadian/Ha,2
360,T360,T350,Zac Blair,4,70,Puerto Rico/Coc,3
361,T360,T350,Michael Block,5,70,Desert Classic/,2
362,T360,T350,Jason Caron,2,70,PGA Champ/Bethp,1
363,T360,T409,Will Claxton,4,70,RBC Canadian/Ha,2
364,T360,T350,Chris Couch,8,70,Puntacana/Coral,3
365,T360,,Joseph Deraney,2,70,RBC Canadian/Ha,2
366,T360,T350,Ken Duke,4,70,Puerto Rico/Coc,3
367,T360,T350,Derek Ernst,8,70,Puerto Rico/Coc,2
368,T360,T350,Ryan Fox,12,70,PGA Champ/Bethp,2
369,T360,T350,"Ray Franz, Jr.",2,70,RBC Heritage/Ha,2
370,T360,T350,Wilson Furr,2,70,Sanderson Farms,2
371,T360,,Michael Gligic,2,70,RBC Canadian/Ha,1
372,T360,T350,Lucas Herbert,4,70,PGA Champ/Bethp,2
373,T360,T350,Yuta Ikeda,6,70,Sony Open/Waial,2
374,T360,T350,Derek Lamely,2,70,Puerto Rico/Coc,2
375,T360,,Richard Lee,2,70,RBC Canadian/Ha,1
376,T360,T350,Richard Lee,4,70,Genesis Open/Ri,1
377,T360,T350,Alexander Levy,4,70,WGC-HSBC Champ/,2
378,T360,T350,Tom Lewis,9,70,WGC-Mexico/Club,4
379,T360,T350,Dong Seop Maeng,4,70,THE CJ CUP/Nine,4
380,T360,T350,Eamonn McLoughlin,2,70,Mayakoba/El Cam,1
381,T360,T350,Cooper Musselman,3,70,Desert Classic/,1
382,T360,T350,Derek Oland,2,70,Byron Nelson/Tr,2
383,T360,T350,Rob Oppenheim,2,70,Shriners/TPC Su,2
384,T360,T350,Adrian Otaegui,10,70,WGC-Mexico/Club,4
385,T360,T350,Aaron Rai,4,70,WGC-Mexico/Club,1
386,T360,T350,Julio Santos,4,70,Puntacana/Coral,2
387,T360,T350,Hiram Silfa,4,70,Puntacana/Coral,2
388,T360,T350,Kevin Stadler,6,70,Sanderson Farms,1
389,T360,T350,Ryan Vermeer,12,70,PGA Champ/Bethp,1
390,T360,T350,Carl Yuan,4,70,WGC-HSBC Champ/,3
391,T392,T379,Mark Anderson,2,71,RBC Heritage/Ha,2
392,T392,T379,Mark Anguiano,2,71,Safeway Open/Si,2
393,T392,T379,Arjun Atwal,6,71,Puntacana/Coral,2
394,T392,T379,Oliver Bekker,4,71,WGC-HSBC Champ/,2
395,T392,T379,Justin Bertsch,4,71,Puntacana/Coral,2
396,T392,T379,Devon Bling,4,71,Masters/Augusta,3
397,T392,,Marc-Étienne Bussières,2,71,RBC Canadian/Ha,2
398,T392,T379,Keith Clearwater,2,71,Charles Schwab/,1
399,T392,,Thomas DeMarco,2,71,RBC Canadian/Ha,1
400,T392,T379,Bruce Doucett,2,71,Farmers/Torrey,1
